Name,active,url,name,start,end,pos,height,weight,birthdate,college
Austin Daye,1,http://www.basketball-reference.com/players/d/dayeau01.html,Austin Daye,2010,2015,F,6-11,220,"June 5, 1988",Gonzaga University
Brook Steppe,0,http://www.basketball-reference.com/players/s/steppbr01.html,Brook Steppe,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Institute of Technology
James Michael McAdoo,1,http://www.basketball-reference.com/players/m/mcadoja01.html,James Michael McAdoo,2015,2016,F,6-9,230,"January 4, 1993",University of North Carolina
Milt Williams,0,http://www.basketball-reference.com/players/w/willimi01.html,Milt Williams,1971,1975,G,6-2,182,"November 22, 1945",Lincoln University of Missouri
Eddie Griffin,0,http://www.basketball-reference.com/players/g/griffed01.html,Eddie Griffin,2002,2007,F,6-10,220,"May 30, 1982",Seton Hall University
Ben Kelso,0,http://www.basketball-reference.com/players/k/kelsobe01.html,Ben Kelso,1974,1974,G,6-3,195,"April 11, 1949",Central Michigan University
Dolph Schayes*,0,http://www.basketball-reference.com/players/s/schaydo01.html,Dolph Schayes*,1950,1964,F-C,6-7,195,"May 19, 1928",New York University
Ray Kuka,0,http://www.basketball-reference.com/players/k/kukara01.html,Ray Kuka,1948,1949,F,6-3,200,"February 17, 1922",University of Notre Dame
Claude English,0,http://www.basketball-reference.com/players/e/englicl01.html,Claude English,1971,1971,F,6-4,185,"December 26, 1946",University of Rhode Island
DeQuan Jones,1,http://www.basketball-reference.com/players/j/jonesde01.html,DeQuan Jones,2013,2013,F,6-8,221,"June 20, 1990",University of Miami
Buddy Jeannette*,0,http://www.basketball-reference.com/players/j/jeannbu01.html,Buddy Jeannette*,1948,1950,G,5-11,175,"September 15, 1917",Washington & Jefferson College
Randy Livingston,0,http://www.basketball-reference.com/players/l/livinra01.html,Randy Livingston,1997,2007,G,6-4,209,"April 2, 1975",Louisiana State University
Jordan Hamilton,1,http://www.basketball-reference.com/players/h/hamiljo02.html,Jordan Hamilton,2012,2015,G-F,6-7,220,"October 6, 1990",University of Texas at Austin
Clint McDaniel,0,http://www.basketball-reference.com/players/m/mcdancl01.html,Clint McDaniel,1996,1996,G,6-4,180,"February 26, 1972",University of Arkansas
Bubba Wells,0,http://www.basketball-reference.com/players/w/wellsbu01.html,Bubba Wells,1998,1998,F,6-5,230,"July 26, 1974",Austin Peay State University
Vincent Yarbrough,0,http://www.basketball-reference.com/players/y/yarbrvi01.html,Vincent Yarbrough,2003,2003,G-F,6-7,210,"March 21, 1981",University of Tennessee
Sharrod Ford,0,http://www.basketball-reference.com/players/f/fordsh02.html,Sharrod Ford,2006,2006,F,6-9,225,"January 9, 1982",Clemson University
Howard Wright,0,http://www.basketball-reference.com/players/w/wrighho02.html,Howard Wright,1991,1993,F,6-8,220,"December 20, 1967",Stanford University
Jim Zoet,0,http://www.basketball-reference.com/players/z/zoetji01.html,Jim Zoet,1983,1983,C,7-1,240,"December 20, 1953",Kent State University
Mel Payton,0,http://www.basketball-reference.com/players/p/paytome01.html,Mel Payton,1952,1953,F-G,6-4,185,"July 16, 1926",Tulane University
Norm Nixon,0,http://www.basketball-reference.com/players/n/nixonno01.html,Norm Nixon,1978,1989,G,6-2,170,"October 11, 1955",Duquesne University
Mack Daughtry,0,http://www.basketball-reference.com/players/d/daughma01.html,Mack Daughtry,1971,1971,G,6-3,175,,Albany State University
Dan Anderson,0,http://www.basketball-reference.com/players/a/anderda02.html,Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California
Bob Naber,0,http://www.basketball-reference.com/players/n/naberbo01.html,Bob Naber,1953,1953,F,6-3,185,"September 3, 1929",University of Louisville
Maurice Martin,0,http://www.basketball-reference.com/players/m/martima01.html,Maurice Martin,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's University
Jeff Mullins,0,http://www.basketball-reference.com/players/m/mullije01.html,Jeff Mullins,1965,1976,G-F,6-4,190,"March 18, 1942",Duke University
Joe Johnson,1,http://www.basketball-reference.com/players/j/johnsjo02.html,Joe Johnson,2002,2016,G-F,6-7,240,"June 29, 1981",University of Arkansas
Primoz Brezec,0,http://www.basketball-reference.com/players/b/brezepr01.html,Primoz Brezec,2002,2010,C,7-2,252,"October 2, 1979",
Bob Hogsett,0,http://www.basketball-reference.com/players/h/hogsebo01.html,Bob Hogsett,1967,1968,F,6-7,230,"January 29, 1941",University of Tennessee
Gene Banks,0,http://www.basketball-reference.com/players/b/banksge01.html,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University
Earl Jones,0,http://www.basketball-reference.com/players/j/jonesea01.html,Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia
Linton Townes,0,http://www.basketball-reference.com/players/t/towneli01.html,Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University
Jeff Turner,0,http://www.basketball-reference.com/players/t/turneje01.html,Jeff Turner,1985,1996,F-C,6-9,230,"April 9, 1962",Vanderbilt University
Walter Herrmann,0,http://www.basketball-reference.com/players/h/herrmwa01.html,Walter Herrmann,2007,2009,F,6-9,225,"June 26, 1979",
Terry Porter,0,http://www.basketball-reference.com/players/p/portete01.html,Terry Porter,1986,2002,G,6-3,195,"April 8, 1963",University of Wisconsin-Stevens Point
Darnell Valentine,0,http://www.basketball-reference.com/players/v/valenda01.html,Darnell Valentine,1982,1991,G,6-1,183,"February 3, 1959",University of Kansas
Kevin Edwards,0,http://www.basketball-reference.com/players/e/edwarke01.html,Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul University
Jimmy Rayl,0,http://www.basketball-reference.com/players/r/raylji01.html,Jimmy Rayl,1968,1969,G,6-2,175,"June 21, 1941",Indiana University
Manute Bol,0,http://www.basketball-reference.com/players/b/bolma01.html,Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport
Paul Neumann,0,http://www.basketball-reference.com/players/n/neumapa01.html,Paul Neumann,1962,1967,G,6-1,175,"January 30, 1938",Stanford University
Paul Stovall,0,http://www.basketball-reference.com/players/s/stovapa01.html,Paul Stovall,1973,1974,F,6-4,215,"August 16, 1948",Arizona State University
Jimmie Baker,0,http://www.basketball-reference.com/players/b/bakerji01.html,Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii
Nick Jones,0,http://www.basketball-reference.com/players/j/jonesni01.html,Nick Jones,1968,1973,G,6-2,190,"March 28, 1945",University of Oregon
Mike Niles,0,http://www.basketball-reference.com/players/n/nilesmi01.html,Mike Niles,1981,1981,F,6-6,225,"March 31, 1955","California State University, Fullerton"
Sid Tanenbaum,0,http://www.basketball-reference.com/players/t/tanensi01.html,Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",New York University
Bill Bridges,0,http://www.basketball-reference.com/players/b/bridgbi01.html,Bill Bridges,1963,1975,F-C,6-6,228,"April 4, 1939",University of Kansas
Louis Orr,0,http://www.basketball-reference.com/players/o/orrlo01.html,Louis Orr,1981,1988,F,6-8,175,"May 7, 1958",Syracuse University
E.C. Coleman,0,http://www.basketball-reference.com/players/c/colemec01.html,E.C. Coleman,1974,1979,F,6-8,225,"September 25, 1950",Houston Baptist University
Marlon Redmond,0,http://www.basketball-reference.com/players/r/redmoma01.html,Marlon Redmond,1979,1980,G,6-6,188,"April 15, 1955",University of San Francisco
Aaron Swinson,0,http://www.basketball-reference.com/players/s/swinsaa01.html,Aaron Swinson,1995,1995,F,6-5,230,"January 9, 1971",Auburn University
Cliff Barker,0,http://www.basketball-reference.com/players/b/barkecl01.html,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky
LeBron James,1,http://www.basketball-reference.com/players/j/jamesle01.html,LeBron James,2004,2016,F-G,6-8,250,"December 30, 1984",
Harry Davis,0,http://www.basketball-reference.com/players/d/davisha01.html,Harry Davis,1979,1980,F,6-7,220,"January 27, 1956",Florida State University
Isaac Austin,0,http://www.basketball-reference.com/players/a/austiis01.html,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University
Brandon Armstrong,0,http://www.basketball-reference.com/players/a/armstbr01.html,Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University
Ernie Barrett,0,http://www.basketball-reference.com/players/b/barreer01.html,Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State University
Petey Rosenberg,0,http://www.basketball-reference.com/players/r/rosenpe01.html,Petey Rosenberg,1947,1947,G,5-10,165,"April 7, 1918",Saint Joseph's University
Rasheed Wallace,0,http://www.basketball-reference.com/players/w/wallara01.html,Rasheed Wallace,1996,2013,F-C,6-10,225,"September 17, 1974",University of North Carolina
Paul Graham,0,http://www.basketball-reference.com/players/g/grahapa01.html,Paul Graham,1992,1994,F-G,6-6,200,"November 28, 1967",Ohio University
John Beasley,0,http://www.basketball-reference.com/players/b/beasljo01.html,John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M University
Malcolm Thomas,1,http://www.basketball-reference.com/players/t/thomama01.html,Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988",San Diego State University
Spider Bennett,0,http://www.basketball-reference.com/players/b/bennesp01.html,Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State University
Willie Murrell,0,http://www.basketball-reference.com/players/m/murrewi01.html,Willie Murrell,1968,1970,F,6-6,225,"September 13, 1941",Kansas State University
Jerry Greenspan,0,http://www.basketball-reference.com/players/g/greenje01.html,Jerry Greenspan,1964,1965,F,6-5,195,"November 22, 1941",University of Maryland
Devin Brown,0,http://www.basketball-reference.com/players/b/brownde02.html,Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio
Frank Brickowski,0,http://www.basketball-reference.com/players/b/brickfr01.html,Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Pennsylvania State University
Torraye Braggs,0,http://www.basketball-reference.com/players/b/braggto01.html,Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier University
Mike Penberthy,0,http://www.basketball-reference.com/players/p/penbemi01.html,Mike Penberthy,2001,2002,G,6-3,185,"November 29, 1974",Master's College
Jason Caffey,0,http://www.basketball-reference.com/players/c/caffeja01.html,Jason Caffey,1996,2003,F,6-8,255,"June 12, 1973",University of Alabama
Press Maravich,0,http://www.basketball-reference.com/players/m/maravpr01.html,Press Maravich,1947,1947,G,6-0,185,"August 20, 1920",Davis & Elkins College
Lamar Green,0,http://www.basketball-reference.com/players/g/greenla01.html,Lamar Green,1970,1975,F-C,6-7,210,"March 22, 1947",Morehead State University
Delonte West,0,http://www.basketball-reference.com/players/w/westde01.html,Delonte West,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's University
Horace Walker,0,http://www.basketball-reference.com/players/w/walkeho01.html,Horace Walker,1962,1962,F,6-3,210,"April 17, 1937",Michigan State University
Tyler Honeycutt,0,http://www.basketball-reference.com/players/h/honeyty01.html,Tyler Honeycutt,2012,2013,F,6-8,188,"July 15, 1990","University of California, Los Angeles"
Luis Scola,1,http://www.basketball-reference.com/players/s/scolalu01.html,Luis Scola,2008,2016,F,6-9,240,"April 30, 1980",
Mike Flynn,0,http://www.basketball-reference.com/players/f/flynnmi01.html,Mike Flynn,1976,1978,G,6-2,180,"July 31, 1953",University of Kentucky
Winston Garland,0,http://www.basketball-reference.com/players/g/garlawi01.html,Winston Garland,1988,1995,G,6-2,170,"December 19, 1964",Missouri State University
Henry Walker,1,http://www.basketball-reference.com/players/w/walkebi01.html,Henry Walker,2009,2015,F,6-6,220,"October 9, 1987",Kansas State University
Cozell McQueen,0,http://www.basketball-reference.com/players/m/mcqueco01.html,Cozell McQueen,1987,1987,F,6-11,235,"January 18, 1962",North Carolina State University
Slater Martin*,0,http://www.basketball-reference.com/players/m/martisl01.html,Slater Martin*,1950,1960,G,5-10,170,"October 22, 1925",University of Texas at Austin
George Mearns,0,http://www.basketball-reference.com/players/m/mearnge01.html,George Mearns,1947,1948,F,6-3,175,"April 18, 1922",University of Rhode Island
Mario Chalmers,1,http://www.basketball-reference.com/players/c/chalmma01.html,Mario Chalmers,2009,2016,G,6-2,190,"May 19, 1986",University of Kansas
Mickey Rottner,0,http://www.basketball-reference.com/players/r/rottnmi01.html,Mickey Rottner,1947,1948,G,5-10,180,"March 23, 1919",Loyola University of Chicago
Phil Hubbard,0,http://www.basketball-reference.com/players/h/hubbaph01.html,Phil Hubbard,1980,1989,F-C,6-8,215,"December 13, 1956",University of Michigan
Mike Bantom,0,http://www.basketball-reference.com/players/b/bantomi01.html,Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University
Dwayne Polee,0,http://www.basketball-reference.com/players/p/poleedw01.html,Dwayne Polee,1987,1987,G,6-5,180,"March 2, 1963",Pepperdine University
Jannero Pargo,1,http://www.basketball-reference.com/players/p/pargoja01.html,Jannero Pargo,2003,2015,G,6-1,175,"October 22, 1979",University of Arkansas
Henry Turner,0,http://www.basketball-reference.com/players/t/turnehe02.html,Henry Turner,1990,1995,G-F,6-7,200,"August 18, 1966","California State University, Fullerton"
Reggie Evans,1,http://www.basketball-reference.com/players/e/evansre01.html,Reggie Evans,2003,2015,F,6-8,245,"May 18, 1980",University of Iowa
Anthony Tucker,0,http://www.basketball-reference.com/players/t/tuckean01.html,Anthony Tucker,1995,1995,F,6-8,220,"April 4, 1969",Wake Forest University
Tyronn Lue,0,http://www.basketball-reference.com/players/l/luety01.html,Tyronn Lue,1999,2009,G,6-0,175,"May 3, 1977",University of Nebraska
Tom Hawkins,0,http://www.basketball-reference.com/players/h/hawkito01.html,Tom Hawkins,1960,1969,F,6-5,210,"December 22, 1936",University of Notre Dame
Scott Padgett,0,http://www.basketball-reference.com/players/p/padgesc01.html,Scott Padgett,2000,2007,F,6-9,240,"April 19, 1976",University of Kentucky
Glenn McDonald,0,http://www.basketball-reference.com/players/m/mcdongl01.html,Glenn McDonald,1975,1977,F-G,6-6,190,"March 18, 1952","California State University, Long Beach"
Sylvester Gray,0,http://www.basketball-reference.com/players/g/graysy01.html,Sylvester Gray,1989,1989,F,6-6,230,"July 8, 1967",University of Memphis
Mel Bennett,0,http://www.basketball-reference.com/players/b/benneme01.html,Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",University of Pittsburgh
Haywoode Workman,0,http://www.basketball-reference.com/players/w/workmha01.html,Haywoode Workman,1990,2000,G,6-2,180,"January 23, 1966",Oral Roberts University
Herm Hedderick,0,http://www.basketball-reference.com/players/h/heddehe01.html,Herm Hedderick,1955,1955,G,6-5,170,"January 1, 1930",Canisius College
Alvin Robertson,0,http://www.basketball-reference.com/players/r/roberal01.html,Alvin Robertson,1985,1996,G,6-3,185,"July 22, 1962",University of Arkansas
Thales McReynolds,0,http://www.basketball-reference.com/players/m/mcreyth01.html,Thales McReynolds,1966,1966,G,6-3,185,"June 8, 1943",Miles College
Jeryl Sasser,0,http://www.basketball-reference.com/players/s/sasseje01.html,Jeryl Sasser,2002,2003,G,6-6,200,"February 13, 1979",Southern Methodist University
Quincy Douby,0,http://www.basketball-reference.com/players/d/doubyqu01.html,Quincy Douby,2007,2009,G,6-3,175,"May 16, 1984",Rutgers University
Bobby Phills,0,http://www.basketball-reference.com/players/p/phillbo01.html,Bobby Phills,1992,2000,G,6-5,210,"December 20, 1969",Southern University and A&M College
Daniel Orton,1,http://www.basketball-reference.com/players/o/ortonda01.html,Daniel Orton,2012,2014,F,6-10,255,"August 6, 1990",University of Kentucky
Hank Whitney,0,http://www.basketball-reference.com/players/w/whitnha01.html,Hank Whitney,1968,1970,F-C,6-7,230,"April 28, 1939",Iowa State University
Al-Farouq Aminu,1,http://www.basketball-reference.com/players/a/aminual01.html,Al-Farouq Aminu,2011,2016,F,6-9,215,"September 21, 1990",Wake Forest University
Jerry West*,0,http://www.basketball-reference.com/players/w/westje01.html,Jerry West*,1961,1974,G,6-2,175,"May 28, 1938",West Virginia University
James Blackwell,0,http://www.basketball-reference.com/players/b/blackja01.html,James Blackwell,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College
Cleo Hill,0,http://www.basketball-reference.com/players/h/hillcl01.html,Cleo Hill,1962,1962,G,6-1,185,"May 24, 1938",Winston-Salem State University
Reggie Harding,0,http://www.basketball-reference.com/players/h/hardire01.html,Reggie Harding,1964,1968,C,7-0,249,"May 4, 1942",
Porter Meriwether,0,http://www.basketball-reference.com/players/m/meriwpo01.html,Porter Meriwether,1963,1963,G,6-2,180,"March 16, 1940",Tennessee State University
Nick Shaback,0,http://www.basketball-reference.com/players/s/shabani01.html,Nick Shaback,1947,1947,G,5-11,180,"September 10, 1918",
Kyle O'Quinn,1,http://www.basketball-reference.com/players/o/oquinky01.html,Kyle O'Quinn,2013,2016,C,6-10,250,"March 26, 1990",Norfolk State University
Jim Owens,0,http://www.basketball-reference.com/players/o/owensji01.html,Jim Owens,1974,1975,F,6-5,200,"May 1, 1950",Arizona State University
Jawad Williams,0,http://www.basketball-reference.com/players/w/willija04.html,Jawad Williams,2009,2011,F,6-9,218,"February 19, 1983",University of North Carolina
James Johnson,1,http://www.basketball-reference.com/players/j/johnsja01.html,James Johnson,2010,2016,F,6-9,250,"February 20, 1987",Wake Forest University
Luis Montero,1,http://www.basketball-reference.com/players/m/montelu01.html,Luis Montero,2016,2016,G,6-7,185,"April 6, 1993",Westchester CC
Ray Epps,0,http://www.basketball-reference.com/players/e/eppsra01.html,Ray Epps,1979,1979,F,6-6,195,"August 20, 1956",Norfolk State University
Joe Smith,0,http://www.basketball-reference.com/players/s/smithjo02.html,Joe Smith,1996,2011,F,6-10,225,"July 26, 1975",University of Maryland
Terrence Williams,0,http://www.basketball-reference.com/players/w/willite01.html,Terrence Williams,2010,2013,F,6-6,220,"June 28, 1987",University of Louisville
Ray Radziszewski,0,http://www.basketball-reference.com/players/r/radzira01.html,Ray Radziszewski,1958,1958,F,6-5,210,"March 1, 1935",Saint Joseph's University
Charles Parks,0,http://www.basketball-reference.com/players/p/parksch01.html,Charles Parks,1969,1969,F,6-5,210,,Idaho State University
Marcus Cousin,1,http://www.basketball-reference.com/players/c/cousima01.html,Marcus Cousin,2011,2011,C,6-11,245,"December 18, 1986",University of Houston
Montrezl Harrell,1,http://www.basketball-reference.com/players/h/harremo01.html,Montrezl Harrell,2016,2016,F,6-8,240,"January 26, 1994",University of Louisville
Calvin Murphy*,0,http://www.basketball-reference.com/players/m/murphca01.html,Calvin Murphy*,1971,1983,G,5-9,165,"May 9, 1948",Niagara University
Toni Kukoc,0,http://www.basketball-reference.com/players/k/kukocto01.html,Toni Kukoc,1994,2006,F,6-10,192,"September 18, 1968",
Chico Vaughn,0,http://www.basketball-reference.com/players/v/vaughch01.html,Chico Vaughn,1963,1970,G,6-2,190,"February 19, 1940",Southern Illinois University
Fred Sheffield,0,http://www.basketball-reference.com/players/s/shefffr01.html,Fred Sheffield,1947,1947,F,6-2,165,"November 5, 1923",University of Utah
Elmore Spencer,0,http://www.basketball-reference.com/players/s/spencel01.html,Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","University of Nevada, Las Vegas"
Luther Green,0,http://www.basketball-reference.com/players/g/greenlu01.html,Luther Green,1970,1973,F,6-7,190,"November 13, 1946",Long Island University
Jay Edwards,0,http://www.basketball-reference.com/players/e/edwarja02.html,Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969",Indiana University
Edmund Lawrence,0,http://www.basketball-reference.com/players/l/lawreed01.html,Edmund Lawrence,1981,1981,C,7-0,228,"December 8, 1952",McNeese State University
Vince Taylor,0,http://www.basketball-reference.com/players/t/taylovi01.html,Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke University
Mike Brittain,0,http://www.basketball-reference.com/players/b/brittmi01.html,Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",University of South Carolina
Wayne Cooper,0,http://www.basketball-reference.com/players/c/coopewa01.html,Wayne Cooper,1979,1992,C-F,6-10,220,"November 16, 1956",University of New Orleans
Ryan Stack,0,http://www.basketball-reference.com/players/s/stackry01.html,Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",University of South Carolina
Byron Irvin,0,http://www.basketball-reference.com/players/i/irvinby01.html,Byron Irvin,1990,1993,G,6-5,190,"December 2, 1966",University of Missouri
Bruce Flowers,0,http://www.basketball-reference.com/players/f/flowebr01.html,Bruce Flowers,1983,1983,F,6-8,225,"June 13, 1957",University of Notre Dame
Stan Stutz,0,http://www.basketball-reference.com/players/s/stutzst01.html,Stan Stutz,1947,1949,G-F,5-10,170,"April 14, 1920",University of Rhode Island
Steve Hayes,0,http://www.basketball-reference.com/players/h/hayesst01.html,Steve Hayes,1982,1986,C,7-0,205,"August 2, 1955",Idaho State University
John Lucas,0,http://www.basketball-reference.com/players/l/lucasjo01.html,John Lucas,1977,1990,G,6-3,175,"October 31, 1953",University of Maryland
Dexter Boney,0,http://www.basketball-reference.com/players/b/boneyde01.html,Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970","University of Nevada, Las Vegas"
Rick Mount,0,http://www.basketball-reference.com/players/m/mountri01.html,Rick Mount,1971,1975,G,6-3,175,"January 5, 1947",Purdue University
Marquis Daniels,0,http://www.basketball-reference.com/players/d/daniema01.html,Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn University
Harry Boykoff,0,http://www.basketball-reference.com/players/b/boykoha01.html,Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's University
Dean Tolson,0,http://www.basketball-reference.com/players/t/tolsode01.html,Dean Tolson,1975,1978,F,6-8,190,"November 25, 1951",University of Arkansas
Manu Ginobili,1,http://www.basketball-reference.com/players/g/ginobma01.html,Manu Ginobili,2003,2016,G,6-6,205,"July 28, 1977",
Adrian Branch,0,http://www.basketball-reference.com/players/b/brancad01.html,Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",University of Maryland
Mike Evans,0,http://www.basketball-reference.com/players/e/evansmi01.html,Mike Evans,1980,1988,G,6-1,170,"April 19, 1955",Kansas State University
Josh Powell,1,http://www.basketball-reference.com/players/p/poweljo01.html,Josh Powell,2006,2014,F,6-9,225,"January 25, 1983",North Carolina State University
Brian Davis,0,http://www.basketball-reference.com/players/d/davisbr02.html,Brian Davis,1994,1994,F-G,6-7,200,"June 21, 1970",Duke University
Art Long,0,http://www.basketball-reference.com/players/l/longar01.html,Art Long,2001,2003,F,6-9,250,"October 1, 1972",University of Cincinnati
Leandro Barbosa,1,http://www.basketball-reference.com/players/b/barbole01.html,Leandro Barbosa,2004,2016,G,6-3,194,"November 28, 1982",
Lester Conner,0,http://www.basketball-reference.com/players/c/connele01.html,Lester Conner,1983,1995,G,6-4,180,"September 17, 1959",Oregon State University
Steve Scheffler,0,http://www.basketball-reference.com/players/s/schefst01.html,Steve Scheffler,1991,1997,C-F,6-9,250,"September 3, 1967",Purdue University
Derrick Gervin,0,http://www.basketball-reference.com/players/g/gervide01.html,Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",University of Texas at San Antonio
John Stockton*,0,http://www.basketball-reference.com/players/s/stockjo01.html,John Stockton*,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga University
Willard Sojourner,0,http://www.basketball-reference.com/players/s/sojouwi01.html,Willard Sojourner,1972,1975,C-F,6-8,225,"September 10, 1948",Weber State University
Cliff Alexander,1,http://www.basketball-reference.com/players/a/alexacl01.html,Cliff Alexander,2016,2016,F,6-8,240,"November 16, 1995",University of Kansas
Jorge Gutierrez,1,http://www.basketball-reference.com/players/g/gutiejo01.html,Jorge Gutierrez,2014,2015,G,6-3,191,"December 27, 1988",University of California
Jordan Hill,1,http://www.basketball-reference.com/players/h/hilljo01.html,Jordan Hill,2010,2016,C-F,6-10,235,"July 27, 1987",University of Arizona
Randy Brown,0,http://www.basketball-reference.com/players/b/brownra02.html,Randy Brown,1992,2003,G,6-2,190,"May 22, 1968",New Mexico State University
Nat Militzok,0,http://www.basketball-reference.com/players/m/militna01.html,Nat Militzok,1947,1947,F,6-3,195,"May 3, 1923",Cornell University
Byron Houston,0,http://www.basketball-reference.com/players/h/houstby01.html,Byron Houston,1993,1996,F,6-5,250,"November 22, 1969",Oklahoma State University
Rich Manning,0,http://www.basketball-reference.com/players/m/manniri01.html,Rich Manning,1996,1997,C,6-11,253,"June 23, 1970",University of Washington
Jarvis Hayes,0,http://www.basketball-reference.com/players/h/hayesja01.html,Jarvis Hayes,2004,2010,F,6-7,220,"August 9, 1981",University of Georgia
Derek Strong,0,http://www.basketball-reference.com/players/s/stronde01.html,Derek Strong,1992,2001,F,6-8,220,"February 9, 1968",Xavier University
Rudy Fernandez,0,http://www.basketball-reference.com/players/f/fernaru01.html,Rudy Fernandez,2009,2012,G,6-6,185,"April 4, 1985",
Jerome James,0,http://www.basketball-reference.com/players/j/jamesje01.html,Jerome James,1999,2009,C,7-0,300,"November 17, 1975",Florida Agricultural and Mechanical University
Mike Taylor,0,http://www.basketball-reference.com/players/t/taylomi01.html,Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State University
Michael Curry,0,http://www.basketball-reference.com/players/c/currymi01.html,Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University
Harvey Marlatt,0,http://www.basketball-reference.com/players/m/marlaha01.html,Harvey Marlatt,1971,1973,G,6-3,185,"August 26, 1948",Eastern Michigan University
Harry Donovan,0,http://www.basketball-reference.com/players/d/donovha01.html,Harry Donovan,1950,1950,G,6-2,180,"September 10, 1926",Muhlenberg College
Carroll Hooser,0,http://www.basketball-reference.com/players/h/hooseca01.html,Carroll Hooser,1968,1968,F,6-7,230,"March 5, 1944",Southern Methodist University
Tom Sanders*,0,http://www.basketball-reference.com/players/s/sandeto01.html,Tom Sanders*,1961,1973,F,6-6,210,"November 8, 1938",New York University
